pwm,voltage,speed
181,2.204834,12.52998
37,2.21128,0
46,2.20564,0
67,2.203223,0
1,2.208862,0
68,2.208862,3.325922
85,2.201611,4.776039
218,2.207251,15.73203
54,2.208057,2.170325
244,2.206445,19.62367
5,2.214502,0
60,2.208057,0
103,2.21128,5.932839
147,2.208057,9.795926
185,2.207251,12.87876
214,2.20564,15.18675
11,2.206445,0
183,2.20564,12.45784
48,2.209668,1.469417
235,2.208057,17.29742
110,2.204834,6.617502
254,2.206445,19.39494
59,2.195972,2.489002
235,2.206445,16.98489
92,2.208057,5.082315
30,2.206445,0
35,2.206445,0
2,2.206445,0
244,2.207251,19.52585
216,2.206445,15.37931
245,2.206445,19.50936
159,2.208057,10.89832
246,2.206445,19.5577
73,2.195972,3.523181
57,2.207251,2.177642
228,2.206445,16.10644
87,2.196777,4.891222
193,2.212085,13.31364
242,2.206445,18.56229
194,2.209668,13.21063
148,2.206445,9.559898
243,2.196777,18.57743
178,2.2,12.19222
22,2.208057,0
44,2.199194,0
181,2.207251,12.48189
35,2.208057,0
190,2.20564,12.86937
103,2.207251,5.803621
3,2.220948,0
164,2.203223,11.13077
30,2.207251,0
205,2.209668,14.61519
96,2.20564,5.51176
26,2.206445,0
56,2.207251,2.314184
33,2.20564,0
107,2.209668,6.492853
15,2.208057,0
100,2.196777,5.923599
84,2.207251,4.607589
99,2.20564,5.836961
43,2.20564,0
237,2.20564,17.51752
99,2.206445,5.804543
100,2.198389,5.860218
3,2.204834,0
224,2.207251,15.84231
236,2.208057,17.2044
250,2.208057,19.79181
120,2.203223,7.267327
240,2.20564,18.18262
202,2.207251,13.92538
150,2.196777,9.67698
65,2.21128,3.166909
164,2.208057,10.85209
168,2.20564,11.26075
40,2.220948,0
62,2.208057,2.596396
200,2.206445,13.80325
165,2.208057,11.21549
152,2.20564,9.996032
8,2.206445,0
123,2.207251,7.426793
49,2.206445,1.47294
228,2.20564,16.21953
234,2.207251,16.55491
189,2.234644,12.81885
203,2.208862,14.47912
183,2.196777,12.5197
83,2.191943,4.331964
95,2.207251,5.446155
70,2.192749,3.518896
222,2.208057,15.69196
81,2.192749,4.504528
58,2.18872,2.55666
142,2.206445,9.305556
141,2.208862,9.242479
158,2.20564,10.51227
28,2.208057,0
29,2.208862,0
156,2.212085,10.62411
96,2.207251,5.535398
102,2.206445,5.894657
241,2.206445,17.8597
135,2.20564,8.766291
183,2.207251,12.55271
17,2.20564,0
196,2.207251,13.63905
44,2.208057,0
80,2.2,4.367108
219,2.206445,15.61226
145,2.208057,9.344584
250,2.208057,19.62049
158,2.210474,10.34528
8,2.208057,0
95,2.206445,5.530545
130,2.208057,8.280992
33,2.192749,0
68,2.198389,3.308542
122,2.208862,6.919168
77,2.195972,3.881922
123,2.207251,7.63631
97,2.206445,5.607304
203,2.207251,14.17853
156,2.206445,10.43136
117,2.207251,7.035727
25,2.207251,0
51,2.207251,1.862938
250,2.208057,19.43333
49,2.204834,1.82985
142,2.190332,8.901361
110,2.207251,6.597462
106,2.20564,6.299034
132,2.206445,8.472472
31,2.199194,0
185,2.199194,12.50764
199,2.207251,14.67335
29,2.206445,0
231,2.206445,16.36758
11,2.208057,0
87,2.204834,4.934258
106,2.207251,6.468282
23,2.206445,0
20,2.20564,0
189,2.207251,13.14859
115,2.193554,7.248078
5,2.206445,0
2,2.207251,0
136,2.192749,8.656958
206,2.207251,14.69242
133,2.207251,8.7551
200,2.21128,13.96388
86,2.183081,4.593509
237,2.207251,17.51713
98,2.209668,5.785324
141,2.208057,8.874154
223,2.209668,15.62064
185,2.190332,12.62312
45,2.206445,1.191195
207,2.206445,14.17405
92,2.207251,5.255257
236,2.198389,16.72893
117,2.25398,7.140697
166,2.206445,10.98175
29,2.206445,0
161,2.20564,10.85681
143,2.206445,9.112352
242,2.208057,18.49475
130,2.212891,8.024544
227,2.200806,15.68616
197,2.208057,13.41988
71,2.186303,3.649569
178,2.196777,11.95276
101,2.183081,5.868955
235,2.209668,16.76661
212,2.21853,14.46619
206,2.206445,14.31262
232,2.207251,16.36911
4,2.206445,0
180,2.20564,12.09012
94,2.206445,5.213258
15,2.208057,0
131,2.199194,8.108382
122,2.195166,7.486007
63,2.208862,2.972752
166,2.20564,11.08928
240,2.20564,18.78291
251,2.206445,18.73073
252,2.20564,18.86729
168,2.206445,10.99897
246,2.20564,18.78157
198,2.207251,13.4734
235,2.193554,16.55544
99,2.206445,5.820696
159,2.208862,10.50707
68,2.208862,3.335839
148,2.20564,9.444082
4,2.203223,0
12,2.20564,0
81,2.195166,4.382545
41,2.193554,1.001542
172,2.208057,11.75693
215,2.207251,14.79302
8,2.20564,0
40,2.206445,1.092228
113,2.199194,6.670842
129,2.208057,7.877773
199,2.193554,13.80968
68,2.19436,3.429477
141,2.195166,8.823112
119,2.212891,7.344013
164,2.199194,10.87538
146,2.20564,9.440789
58,2.208057,2.450231
238,2.209668,17.45271
45,2.206445,1.573588
85,2.206445,4.640284
242,2.20564,18.66973
148,2.208862,9.451241
98,2.20564,5.643769
131,2.20564,8.102444
182,2.208862,12.25681
165,2.212085,11.06436
38,2.206445,0
19,2.206445,0
95,2.206445,5.561975
126,2.204834,7.937845
174,2.204834,12.14255
33,2.202417,0
20,2.208057,0
76,2.208057,3.980529
111,2.196777,6.918406
231,2.207251,16.56713
212,2.207251,14.87863
185,2.206445,12.99758
6,2.20564,0
146,2.20564,9.907762
164,2.207251,11.09837
168,2.20564,11.59627
129,2.206445,8.181657
98,2.208057,5.595917
79,2.2,4.046504
27,2.204028,0
134,2.206445,8.761597
9,2.20564,0
232,2.206445,16.91939
164,2.195972,11.05323
140,2.207251,9.297955
138,2.206445,9.008358
162,2.206445,11.11911
10,2.208862,0
88,2.208057,4.876417
22,2.190332,0
234,2.206445,17.126
184,2.208057,12.65343
220,2.206445,15.70498
134,2.212085,8.544692
46,2.208862,0
62,2.207251,3.007863
